shell,d18o,mg_ca,mg_ca_sst
JL1,0.81,21.87,19.97
JL1,0.98,22.20,20.32
JL1,1.23,22.20,20.32
JL1,1.60,22.20,20.32
JL1,1.83,20.61,18.55
JL1,1.71,18.15,15.53
JL1,1.53,22.16,20.28
JL1,1.17,22.84,21.01
JL1,1.13,20.38,18.29
JL1,0.92,22.26,20.39
JL1,0.95,20.86,18.85
JL1,1.04,21.30,19.34
JL1,1.05,19.74,17.53
JL1,1.40,18.35,15.79
JL1,1.57,21.47,19.53
JL1,1.75,21.54,19.60
JL1,1.91,20.10,17.95
JL1,1.88,23.12,21.30
JL1,1.85,20.53,18.46
JL1,1.58,21.44,19.49
JL1,1.16,20.60,18.54
JL1,0.83,20.93,18.92
JL1,0.52,21.04,19.05
JL1,0.76,19.49,17.22
JL1,1.05,19.45,17.18
JL1,1.61,23.97,22.16
JL1,1.71,20.03,17.88
JL1,1.83,20.91,18.89
JL1,1.93,19.67,17.44
JL1,1.92,23.01,21.18
JL1,1.67,21.25,19.28
JL1,1.53,19.51,17.25
JL1,,21.16,19.18
JL1,1.02,21.62,19.69
JL1,0.55,18.45,15.92
JL1,0.37,22.65,20.80
JL1,0.57,20.46,18.38
JL1,0.85,22.47,20.61
JL1,0.96,25.28,23.42
JL1,0.74,19.04,16.67
JL1,0.84,20.60,18.54
JL1,0.99,20.92,18.91
JL1,1.27,19.74,17.52
JL1,1.49,20.50,18.43
JL1,1.51,19.79,17.58
JL1,1.59,22.09,20.21
JL1,1.64,21.44,19.50
JL1,1.82,17.65,14.86
JL1,1.52,19.82,17.63
JL1,1.03,20.06,17.91
JL1,0.90,19.23,16.91
JL1,1.22,22.03,20.14
JL1,1.37,22.36,20.49
JL1,1.53,24.86,23.02
JL1,1.60,23.24,21.41
JL1,1.66,23.15,21.32
JL1,1.65,20.49,18.42
JL1,1.76,20.74,18.71
JL1,1.56,20.57,18.51
JL1,1.77,21.11,19.13
JL1,1.74,21.39,19.44
JL1,1.72,19.52,17.26
JL1,1.62,18.65,16.18
JL1,1.52,18.37,15.82
JL1,1.46,18.75,16.30
JL1,1.32,19.77,17.57
JL1,1.16,19.55,17.30
JL1,1.16,,
JL2,1.11,23.48,21.66
JL2,1.28,19.95,17.78
JL2,1.72,18.49,15.97
JL2,1.84,18.58,16.09
JL2,,,
JL2,1.91,18.86,16.45
JL2,1.93,18.94,16.54
JL2,1.99,17.59,14.78
JL2,1.90,17.29,14.38
JL2,1.91,17.97,15.30
JL2,1.88,19.45,17.18
JL2,1.59,19.99,17.83
JL2,1.34,20.09,17.94
JL2,1.04,22.51,20.65
JL2,0.54,22.72,20.87
JL2,0.70,24.62,22.79
JL2,0.72,24.90,23.06
JL2,0.78,23.24,21.42
JL2,0.60,23.02,21.19
JL2,0.67,24.86,23.02
JL2,0.63,24.37,22.55
JL2,0.90,25.20,23.34
JL2,,,
JL2,1.61,22.15,20.27
JL2,1.95,21.19,19.22
JL2,1.75,21.76,19.85
JL2,1.49,21.20,19.23
JL2,1.76,20.79,18.76
JL2,1.80,20.44,18.36
JL2,1.77,19.00,16.61
JL2,1.95,19.60,17.36
JL2,2.14,18.00,15.33
JL2,2.29,16.69,13.54
JL2,2.46,16.40,13.11
JL2,2.25,17.24,14.31
JL2,,,
JL2,2.24,18.03,15.37
JL2,2.34,17.76,15.01
JL2,1.97,18.82,16.39
JL2,1.74,19.42,17.14
JL2,,,
JL2,1.25,22.87,21.03
JL2,0.71,22.76,20.92
JL2,1.44,21.11,19.12
JL2,1.76,19.64,17.40
JL2,2.05,20.06,17.92
JL2,1.98,19.63,17.40
JL2,1.42,20.17,18.04
JL2,0.79,23.90,22.08
JL2,0.55,23.52,21.70
JL2,0.98,23.61,21.79
JL2,1.12,24.63,22.80
JL2,,,
JL2,1.62,19.07,16.71
JL2,1.77,20.49,18.42
JL2,1.70,19.00,16.62
JL2,2.09,17.30,14.39
JL2,2.11,17.48,14.63
JM00,1.70,18.42,15.88
JM00,1.74,19.35,17.05
JM00,1.88,18.82,16.39
JM00,1.88,18.69,16.23
JM00,1.91,19.00,16.62
JM00,2.00,18.40,15.86
JM00,2.06,19.00,16.62
JM00,2.12,18.65,16.18
JM00,2.10,18.38,15.83
JM00,2.22,17.76,15.02
JM00,2.12,18.07,15.43
JM00,2.22,17.78,15.04
JM00,2.16,17.26,14.34
JM00,2.19,18.11,15.47
JM00,2.16,18.16,15.54
JM00,2.08,17.59,14.78
JM00,2.03,17.34,14.45
JM00,2.02,17.73,14.97
