sampleID,dist,d18O
ND-1016-1,0,1.858214078
ND-1016-1,0.2,1.13698104
ND-1016-1,0.4,0.831545817
ND-1016-1,0.6,1.159899313
ND-1016-1,0.8,1.368564416
ND-1016-1,1,1.565902495
ND-1016-1,1.2,1.276149082
ND-1016-1,1.4,1.65266553
ND-1016-1,1.6,2.211481356
ND-1016-1,1.8,2.459145831
ND-1016-1,2,2.482268031
ND-1016-1,2.4,2.752602206
ND-1016-1,2.6,2.739665184
ND-1016-1,2.8,2.705967846
ND-1016-1,3,3.034455569
ND-1016-1,3.2,3.005911464
ND-1016-1,3.4,2.934156668
ND-1016-1,3.6,2.840303368
ND-1016-1,3.8,2.656099426
ND-1016-1,4.2,2.332885799
ND-1016-1,4.4,2.394532071
ND-1016-1,4.6,2.210133205
ND-1016-1,4.8,1.908111284
ND-1016-1,5,1.818732424
ND-1016-1,5.2,1.788250048
ND-1016-1,5.4,1.729935361
ND-1016-1,5.6,1.639331252
ND-1016-1,5.8,1.520618032
ND-1016-1,6,1.536390847
ND-1016-1,6.2,1.262757899
ND-1016-1,6.4,1.31405756
ND-1016-1,6.6,1.141867278
ND-1016-1,6.8,1.189051543
ND-1016-1,7,0.990029448
ND-1016-1,7.2,1.097393414
ND-1016-1,7.4,0.920751174
ND-1016-1,7.8,0.967814785
ND-1016-1,8,1.089143392
ND-1016-1,8.2,1.227611715
ND-1016-1,8.4,1.187800207
ND-1016-1,8.6,1.332287314
ND-1016-1,8.8,1.305923558
ND-1016-1,9,1.403071998
ND-1016-1,9.2,1.524282634
ND-1016-1,9.4,1.591439142
ND-1016-1,9.6,1.68555468
ND-1016-1,9.8,1.833790492
ND-1016-3,0,1.938970759
ND-1016-3,0.2,1.85083639
ND-1016-3,0.4,1.378216097
ND-1016-3,0.6,1.092548862
ND-1016-3,0.8,1.105248069
ND-1016-3,1,1.08296688
ND-1016-3,1.2,1.432988848
ND-1016-3,1.4,1.7981044370000001
ND-1016-3,1.6,2.112011431
ND-1016-3,1.8,2.416779731
ND-1016-3,2,2.696905928
ND-1016-3,2.2,2.653479629
ND-1016-3,2.6,2.699204745
ND-1016-3,2.8,2.352372625
ND-1016-3,3,2.014535179
ND-1016-3,3.2,2.01700715
ND-1016-3,3.4,1.851506622
ND-1016-3,3.6,2.008181713
ND-1016-3,3.8,1.751984034
ND-1016-3,4,1.552936817
ND-1016-3,4.2,1.814555727
ND-1016-3,4.4,1.740256755
ND-1016-3,4.6,1.689431747
ND-1016-3,4.8,1.286924922
ND-1016-3,5,1.439200211
ND-1016-3,5.2,1.346828031
ND-1016-3,5.4,1.38268564
ND-1016-3,5.6,1.110696247
ND-1016-3,5.8,1.128347217
ND-1016-3,6,1.318633195
ND-1016-3,6.2,1.058695243
ND-1016-3,6.4,1.082276109
ND-1016-3,6.6,1.144870446
ND-1016-3,6.8,1.022487293
ND-1016-3,7,0.997469573
ND-1016-3,7.2,1.150348334
ND-1016-3,7.4,1.477927844
ND-1016-3,7.6,1.401212142
ND-1016-3,7.8,1.634509649
ND-1016-3,8,1.811659114
ND-1016-3,8.2,1.897447836
ND-1016-3,8.4,1.944792547
ND-1016-3,8.6,2.112213101
ND-1016-3,8.8,2.166873872
ND-1016-3,9,2.276294308
ND-1016-3,9.2,2.379635259
ND-1016-3,9.4,2.572536172
ND-1016-3,9.6,2.412979202
ND-1016-3,9.8,2.359106327
ND-1016-4,0,2.217332119
ND-1016-4,0.15,1.990734037
ND-1016-4,0.3,1.653128538
ND-1016-4,0.45,1.012640295
ND-1016-4,0.6,0.97843736
ND-1016-4,0.75,1.517433414
ND-1016-4,0.9,2.227969224
ND-1016-4,1.05,1.760209128
ND-1016-4,1.2,2.020329213
ND-1016-4,1.35,1.927151927
ND-1016-4,1.5,2.06199149
ND-1016-4,1.65,1.765780366
ND-1016-4,1.8,1.634080273
ND-1016-4,1.95,1.391304026
ND-1016-4,2.1,1.33166175
ND-1016-4,2.25,1.187071463
ND-1016-4,2.4,0.839528967
ND-1016-4,2.55,1.047921695
ND-1016-4,2.7,0.35537068
ND-1016-4,2.85,0.80424932
ND-1016-4,3,0.662289409
ND-1016-4,3.15,0.617128877
ND-1016-4,3.3,0.512033821
ND-1016-4,3.45,0.559545563
ND-1016-4,3.6,0.758435054
ND-1016-4,3.75,1.148275188
ND-1016-4,3.9,1.214469083
ND-1016-4,4.05,1.455266566
ND-1016-4,4.2,1.549458739
ND-1016-4,4.35,1.6104883
ND-1016-4,4.5,2.035252633
ND-1016-4,4.65,1.185377841
ND-1016-4,4.8,1.830829488
ND-1016-4,4.95,1.783790558
ND-1016-4,5.1,1.588618919
ND-1016-4,5.25,1.753011641
ND-1016-4,5.4,1.737191161
ND-1016-4,5.55,1.437618171
ND-1016-4,5.7,1.540672437
ND-1016-4,6,1.632632737
ND-1016-4,6.15,1.58597099
ND-1016-4,6.3,1.568705439
ND-1016-4,6.45,1.669468471
ND-1016-4,6.6,1.666865998
ND-1016-4,6.75,1.458202076
ND-1016-4,6.9,1.133129324
ND-1016-4,7.05,1.126124329
ND-1016-4,7.2,1.215686279
ND-1016-4,7.35,1.297587379
ND-1016-4,7.5,0.859787958
ND-1016-4,7.65,1.200963485
ND-1016-4,7.8,0.993680215
ND-1016-4,7.95,1.058168524
ND-1016-4,8.1,1.019831584
ND-1016-4,8.25,0.893431424
ND-1016-4,8.4,1.094912106
ND-1016-4,8.55,0.904855139
ND-1016-4,8.7,1.033999404
NM-1016-1,0,2.358788828
NM-1016-1,0.2,2.278214046
NM-1016-1,0.4,2.196504935
NM-1016-1,0.6,1.683877147
NM-1016-1,0.8,1.016144508
NM-1016-1,1,1.179195076
NM-1016-1,1.2,1.061983642
NM-1016-1,1.4,0.953500113
NM-1016-1,1.6,1.1470818
NM-1016-1,1.8,1.357664018
NM-1016-1,2,1.591603752
NM-1016-1,2.2,1.729464583
NM-1016-1,2.4,2.331971502
NM-1016-1,2.6,2.27877762
NM-1016-1,2.8,2.414071243
NM-1016-1,3,2.354400126
NM-1016-1,3.2,2.611790036
NM-1016-1,3.4,2.407620359
NM-1016-1,3.6,2.626963527
NM-1016-1,3.8,2.562084431
NM-1016-1,4,2.302997824
NM-1016-1,4.2,2.552056568
NM-1016-1,4.4,1.815424573
NM-1016-1,4.6,1.585264325
NM-1016-1,4.8,1.434757594
NM-1016-1,5,1.498838666
NM-1016-1,5.2,1.224886578
NM-1016-1,5.4,1.141406707
NM-1016-1,5.6,1.073665301
NM-1016-1,5.8,1.210387408
NM-1016-1,6,0.801579719
NM-1016-1,6.2,0.84138282
NM-1016-1,6.4,0.920353586
NM-1016-1,6.6,0.796859718
NM-1016-1,6.8,0.89170457
NM-1016-1,7,0.800979539
NM-1016-1,7.2,0.667602529
NM-1016-1,7.4,0.862245571
NM-1016-1,7.6,0.864391816
NM-1016-1,7.8,1.110287063
NM-1016-1,8,1.228776595
NM-1016-1,8.2,1.494676769
NM-1016-1,8.4,1.505181146
NM-1016-1,8.6,1.513560301
NM-1016-1,8.8,1.770442331
NM-1016-1,9,1.762959465
NM-1016-1,9.2,1.914554838
NM-1016-1,9.4,2.219128682
NM-1016-1,9.6,1.972449357
NM-1016-1,9.8,2.561263757
NM-1016-3,0,2.369288205
NM-1016-3,0.15,1.997277662
NM-1016-3,0.3,2.154021691
NM-1016-3,0.45,2.061628275
NM-1016-3,0.6,1.927746041
NM-1016-3,0.75,1.767677889
NM-1016-3,0.9,1.625386719
NM-1016-3,1.05,1.388630562
NM-1016-3,1.2,1.411937684
NM-1016-3,1.35,1.304205979
NM-1016-3,1.5,1.234915085
NM-1016-3,1.65,1.186539655
NM-1016-3,1.8,1.109185277
NM-1016-3,1.95,1.162253877
NM-1016-3,2.1,1.139020049
NM-1016-3,2.25,1.149209675
NM-1016-3,2.4,1.314740781
NM-1016-3,2.55,1.349061711
NM-1016-3,2.7,1.275007233
NM-1016-3,2.85,1.249307355
NM-1016-3,3,1.487978006
NM-1016-3,3.15,1.377762453
NM-1016-3,3.3,1.648286243
NM-1016-3,3.45,1.954004944
NM-1016-3,3.6,2.093592396
NM-1016-3,3.75,2.326389328
NM-1016-3,3.9,1.5533963
NM-1016-3,4.05,2.161673416
NM-1016-3,4.2,1.926030143
NM-1016-3,4.35,2.263135454
NM-1016-3,4.5,2.355979007
NM-1016-3,4.65,2.274322968
NM-1016-3,4.8,2.332067677
NM-1016-3,4.95,2.304370185
NM-1016-3,5.1,2.332332104
NM-1016-3,5.25,2.423709724
NM-1016-3,5.4,2.54431128
NM-1016-3,5.55,2.261959095
NM-1016-3,5.7,2.208818125
NM-1016-3,5.85,1.975068035
NM-1016-3,5.85,2.212758695
NM-1016-3,6,2.087030581
NM-1016-3,6.15,1.95790394
NM-1016-3,6.3,1.814067925
NM-1016-3,6.45,1.559669036
NM-1016-3,6.6,1.613120071
NM-1016-3,6.75,1.33723455
NM-1016-3,6.9,1.659038309
NM-1016-3,7.05,1.693444579
NM-1016-3,7.2,1.218274649
NM-1016-3,7.35,1.385172832
NM-1016-3,7.5,0.937781673
NM-1016-3,7.65,1.036145685
NM-1016-3,7.8,1.252866601
NM-1016-3,7.95,1.093217204
NM-1016-3,8.1,1.179452905
NM-1016-3,8.25,0.996890651
NM-1016-3,8.4,1.092449738
NM-1016-3,8.55,0.934594578
NM-1016-3,8.7,0.797674539
NM-1016-5,0,1.449613679
NM-1016-5,0.2,1.19413193
NM-1016-5,0.4,1.404555521
NM-1016-5,0.6,1.892577606
NM-1016-5,0.8,2.23235658
NM-1016-5,1,2.746315522
NM-1016-5,1.2,2.753558864
NM-1016-5,1.4,2.600868645
NM-1016-5,1.6,2.423578437
NM-1016-5,1.8,2.393816226
NM-1016-5,2,2.033075558
NM-1016-5,2.2,2.063849078
NM-1016-5,2.4,1.869050955
NM-1016-5,2.6,1.626227629
NM-1016-5,2.8,1.707002135
NM-1016-5,3,1.608781628
NM-1016-5,3.2,1.659566302
NM-1016-5,3.4,1.630827793
NM-1016-5,3.6,1.403408945
NM-1016-5,3.8,1.33746396
NM-1016-5,4,1.285282741
NM-1016-5,4.2,1.231418504
NM-1016-5,4.4,1.148493976
NM-1016-5,4.6,1.036806213
NM-1016-5,4.8,0.851252087
NM-1016-5,5,0.948514497
NM-1016-5,5.2,0.794927222
NM-1016-5,5.4,0.956416704
NM-1016-5,5.6,1.164765527
NM-1016-5,5.8,1.528035647
NM-1016-5,6,1.478437143
NM-1016-5,6.2,1.698495594
NM-1016-5,6.4,1.699120942
NM-1016-5,6.6,1.687319295
NM-1016-5,6.8,1.683396424
NM-1016-5,7,1.919261649
NM-1016-5,7.2,2.022653405
NM-1016-5,7.4,2.239406538
NM-1016-5,7.6,2.067894537
NM-1016-5,7.8,2.267797751
NM-1016-5,8,2.243081024
NM-1016-5,8.2,2.306999575
NM-1016-5,8.4,2.225076221
NM-1016-5,8.6,2.170037324
NM-1016-5,8.8,2.529984032
NM-1016-5,9,2.50210057
NM-1016-5,9.2,2.620472003
NM-1016-5,9.4,2.510869747
NM-1016-5,9.6,2.576544912
NM-1016-5,9.8,2.439826765
QG1-7189-2,0.051,1.81
QG1-7189-2,0.102,1.92
QG1-7189-2,0.153,1.97
QG1-7189-2,0.204,2.23
QG1-7189-2,0.255,2.22
QG1-7189-2,0.306,2.14
QG1-7189-2,0.357,2.18
QG1-7189-2,0.408,2.66
QG1-7189-2,0.459,NA
QG1-7189-2,0.51,3.26
QG1-7189-2,0.561,3.14
QG1-7189-2,0.612,NA
QG1-7189-2,0.663,2.66
QG1-7189-2,0.714,2.1
QG1-7189-2,0.765,1.81
QG1-7189-2,0.827,1.77
QG1-7189-2,0.889,1.84
QG1-7189-2,0.951,2.39
QG1-7189-2,1.013,2.2
QG1-7189-2,1.075,NA
QG1-7189-2,1.137,2.36
QG1-7189-2,1.199,2.47
QG1-7189-2,1.261,2.82
QG1-7189-2,1.323,3.24
QG1-7189-2,1.385,3.5
QG1-7189-2,1.447,NA
QG1-7189-2,1.509,NA
QG1-7189-2,1.571,3.67
QG1-7189-2,1.633,NA
QG1-7189-2,1.695,NA
QG1-7189-2,1.757,3.5
QG1-7189-2,1.819,NA
QG1-7189-2,1.881,3.22
QG1-7189-2,1.964,NA
QG1-7189-2,2.047,3.01
QG1-7189-2,2.13,2.69
QG1-7189-2,2.213,2.93
QG1-7189-2,2.296,NA
QG1-7189-2,2.379,2.38
QG1-7189-2,2.462,2.18
QG1-7189-2,2.545,1.81
QG1-7189-2,2.628,1.99
QG1-7189-2,2.711,1.94
QG1-7189-2,2.794,1.63
QG1-7189-2,2.877,1.81
QG1-7189-2,2.96,1.62
QG1-7189-2,3.043,1.55
QG1-7189-2,3.126,1.37
QG1-7189-2,3.209,1.03
QG1-7189-2,3.292,1.69
QG1-7189-2,3.375,1.43
QG1-7189-2,3.458,1.68
QG1-7189-2,3.541,NA
QG1-7189-2,3.624,2.17
QG1-7189-2,3.707,1.95
QG1-7189-2,3.79,2.14
QG1-7189-2,3.873,2.39
QG1-7189-2,3.956,2.52
QG1-7189-2,4.039,NA
QG1-7189-2,4.122,NA
QG1-7189-2,4.205,2.6
QG1-7189-2,4.288,2.33
QG1-7189-2,4.371,NA
QG1-7189-2,4.454,2.63
QG1-7189-2,4.537,2.52
QG1-7189-2,4.62,2.7
QG1-7189-2,4.703,2.73
QG1-7189-2,4.786,3.11
QG1-7189-2,4.869,2.99
QG1-7246-1,0,NA
QG1-7246-1,0.172,3.38
QG1-7246-1,0.344,2.47
QG1-7246-1,0.516,2.5
QG1-7246-1,0.688,NA
QG1-7246-1,0.882,2.6
QG1-7246-1,1.076,1.97
QG1-7246-1,1.27,1.76
QG1-7246-1,1.437,2.16
QG1-7246-1,1.604,3.1
QG1-7246-1,1.771,3.35
QG1-7246-1,1.938,3.33
QG1-7246-1,2.105,2.62
QG1-7246-1,2.272,2.08
QG1-7246-1,2.439,2.39
QG1-7246-1,2.606,2.66
QG1-7246-1,2.773,3.49
QG1-7246-1,2.94,3.64
QG1-7246-1,3.105,2.35
QG1-7246-1,3.27,2.34
QG1-7246-1,3.435,3.13
QG1-7246-1,3.6,3.4
QG1-7246-1,3.765,3.26
QG1-7246-1,3.93,2.77
QG1-7246-1,4.095,2.56
QG1-7246-1,4.26,1.86
QG1-7246-1,4.417,2.08
